FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 2

Participación en campos académicos
Indicador 2: Selectividad de carreras masculinizadas y feminizadas por sexo
I2_a: Tasa de selectividad de grupos de programas masculinizados total
COLUMNAS: Indicador | Grupo de Programas | Clasificación | Nivel | Año | Tasa de selectividad total | Fuente
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.85 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 4.03 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Minería y Extracción | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 4.88 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.36 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.86 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.25 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 1.92 | Fuente: DTI
Indicador: I2_b: Tasa de selectividad de grupos de programas feminizados total
Indicador: Indicador | Grupo de Programas: Grupo de Programas | Clasificación: Clasificación | Nivel: Nivel | Año: Año | Tasa de selectividad total: Tasa de selectividad | Fuente: Fuente
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.6 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.5 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.34 | Fuente: SUNEDU
